type, op, unstream, num_op, matriz, t_acceso, creacion, ejecucion, computacion, glopbyte, gflops
float, false, false, 1, data/mat-200-200-27k.rua, 0.3828, 5.1651, 0.9620, 6.1270, 0.2500, 0.0044
float, false, false, 1, data/mat-24000-100-1760k.rua, 2.7175, 2.1988, 0.7742, 2.9731, 0.2500, 0.5920
float, false, false, 1, data/mat-300-100-22k.rua, 0.1099, 2.1546, 0.4033, 2.5579, 0.2500, 0.0086
float, false, false, 1, data/mat-32000-200-4320k.rua, 5.6833, 4.5049, 1.5883, 6.0931, 0.2500, 0.7090
float, false, false, 1, data/mat-4000-200-540k.rua, 0.9140, 4.3449, 0.7439, 5.0888, 0.2500, 0.1061
float, false, false, 1, data/mat-512000-200-69120k.rua, 98.1061, 4.1842, 19.0143, 23.1985, 0.2500, 2.9795
float, false, false, 1, data/mat-6000-100-440k.rua, 0.8178, 2.2195, 0.4072, 2.6266, 0.2500, 0.1675
float, false, false, 1, data/mat-96000-100-7040k.rua, 11.8793, 2.2381, 2.1719, 4.4101, 0.2500, 1.5963
float, false, false, 1, data/samplematrix.rua, 0.0722, 4.4722, 2.6088, 7.0810, 0.2500, 0.0002
float, false, false, 10, data/mat-200-200-27k.rua, 0.1688, 4.3099, 0.8040, 5.1138, 2.5000, 0.0528
float, false, false, 10, data/mat-24000-100-1760k.rua, 2.4714, 2.1906, 0.9930, 3.1836, 2.5000, 5.5284
float, false, false, 10, data/mat-300-100-22k.rua, 0.2049, 2.1868, 0.3950, 2.5819, 2.5000, 0.0852
float, false, false, 10, data/mat-32000-200-4320k.rua, 8.4467, 4.3645, 2.0954, 6.4599, 2.5000, 6.6874
float, false, false, 10, data/mat-4000-200-540k.rua, 0.8996, 4.3446, 0.8077, 5.1524, 2.5000, 1.0481
float, false, false, 10, data/mat-512000-200-69120k.rua, 95.1624, 4.4112, 27.8383, 32.2495, 2.5000, 21.4329
float, false, false, 10, data/mat-6000-100-440k.rua, 0.9961, 2.2569, 0.4718, 2.7286, 2.5000, 1.6125
float, false, false, 10, data/mat-96000-100-7040k.rua, 9.1933, 5.1450, 3.1234, 8.2684, 2.5000, 8.5144
float, false, false, 10, data/samplematrix.rua, 0.0333, 4.3150, 0.5687, 4.8837, 2.5000, 0.0023
float, false, false, 100, data/mat-200-200-27k.rua, 0.0997, 4.3062, 0.7574, 5.0636, 25.0000, 0.5332
float, false, false, 100, data/mat-24000-100-1760k.rua, 2.4707, 2.2934, 3.8809, 6.1743, 25.0000, 28.5054
float, false, false, 100, data/mat-300-100-22k.rua, 0.2853, 2.1448, 0.4452, 2.5900, 25.0000, 0.8494
float, false, false, 100, data/mat-32000-200-4320k.rua, 8.3219, 4.4183, 11.5801, 15.9984, 25.0000, 27.0026
float, false, false, 100, data/mat-4000-200-540k.rua, 1.0020, 4.3268, 1.3462, 5.6731, 25.0000, 9.5187
float, false, false, 100, data/mat-512000-200-69120k.rua, 99.4660, 4.2182, 131.0953, 135.3135, 25.0000, 51.0814
float, false, false, 100, data/mat-6000-100-440k.rua, 0.7309, 2.2799, 1.0751, 3.3551, 25.0000, 13.1145
float, false, false, 100, data/mat-96000-100-7040k.rua, 12.0281, 2.2017, 12.2609, 14.4626, 25.0000, 48.6772
float, false, false, 100, data/samplematrix.rua, 0.0946, 4.4716, 0.5972, 5.0688, 25.0000, 0.0221
float, false, false, 1000, data/mat-200-200-27k.rua, 0.1476, 4.6464, 0.7545, 5.4009, 250.0000, 4.9992
float, false, false, 1000, data/mat-24000-100-1760k.rua, 2.5020, 2.1937, 32.0517, 34.2454, 250.0000, 51.3938
float, false, false, 1000, data/mat-300-100-22k.rua, 0.1481, 2.1501, 0.6846, 2.8348, 250.0000, 7.7608
float, false, false, 1000, data/mat-32000-200-4320k.rua, 8.3563, 4.5254, 74.4181, 78.9435, 250.0000, 54.7227
float, false, false, 1000, data/mat-4000-200-540k.rua, 0.9499, 4.5070, 11.2298, 15.7368, 250.0000, 34.3145
